MSW	15.67	39.37	Massawa International	Massawa	Eritrea	ER		+3.0	11471	194
TES	15.1166	36.6833	Tessenei	Tessenei	Eritrea	ER		+3.0	6234	2018
ASM	15.2919	38.9105	Yohannes IV	Asmara	Eritrea	ER		+3.0	9843	7661
ASA	13.0716	42.6449	Assab International	Assab	Eritrea	ER		+3.0	7546	46
NLK	-29.0416	167.9386	Norfolk Island	Norfolk Island	Norfolk Island	NF		+11.5	6400	371
URT	9.1	99.3333	Surat Thani	Surat Thani	Thailand	TH		-7.0	8202	19
PHZ	8.1666	98.2833	Phi Phi Island	Phi Phi Island	Thailand	TH		-7.0		
PHS	16.7833	100.2666	Phitsanulok	Phitsanulok	Thailand	TH		-7.0	9843	145
UTP	12.6666	100.9833	Utapao	Utapao	Thailand	TH		+7.0	11500	59
UTH	17.3863	102.7883	Udon Thani	Udon Thani	Thailand	TH		+7.0	10000	579
NAW	6.4166	101.8	Narathiwat	Narathiwat	Thailand	TH		-7.0	6578	18
PBS	7.9	98.2833	Patong Beach	Patong Beach	Thailand	TH		+0.0		
DMK	13.9125	100.6066	Don Muang	Bangkok	Thailand	TH		+7.0	12139	9
HGN	19.3	97.9666	Mae Hong Son	Mae Hong Son	Thailand	TH		-7.0	5433	761
PHY	16.4166	101.1333	Phetchabun	Phetchabun	Thailand	TH		+0.0		
THS	17.2166	99.8166	Sukhothai	Sukhothai (sawankolok)	Thailand	TH		+7.0		
CNX	18.7683	98.9627	Chiang Mai International	Chiang Mai	Thailand	TH		+7.0	10171	1036
NNT	18.8	100.7833	Nan	Nan	Thailand	TH		-7.0	6561	699
KOP	17.4	104.7666	Nakhon Phanom	Nakhon Phanom	Thailand	TH		-7.0	8000	579
HKT	8.1133	98.3169	Phuket International	Phuket	Thailand	TH		+7.0	8201	69
LPT	18.3	99.5166	Lampang	Lampang	Thailand	TH		-7.0	4890	794
BKK	13.6811	100.7472	Suvarnabhumi International	Bangkok	Thailand	TH		+7.0	12139	12
CJM	10.5	99.1666	Chumphon Airport	Chumphon	Thailand	TH		+5.0	2100	18
BFV	15.2272	103.2505	Buri Ram	Buri Ram	Thailand	TH		+0.0		
ROI	16.0666	103.65	Roi Et Airport	Roi Et	Thailand	TH		+0.0		
KBV	8.0958	98.9888	Krabi	Krabi	Thailand	TH		-7.0	9850	93
TST	7.55	99.6	Trang	Trang	Thailand	TH		+0.0		
TDX	12.268	102.3166	Trat	Trat	Thailand	TH		+7.0		
PAN	6.7833	101.1666	Pattani	Pattani	Thailand	TH		-7.0	4593	20
HDY	7.0166	100.45	Hat Yai	Hat Yai	Thailand	TH		-7.0	10006	91
KKM	14.8	100.6166	Lop Buri	Lop Buri	Thailand	TH		-7.0	7250	98
UNN	9.8527	98.6291	Ranong	Ranong	Thailand	TH		-7.0	3529	115
UBP	15.2513	104.8702	Muang Ubon	Ubon Ratchathni	Thailand	TH		+7.0	9848	406
MAQ	16.7166	98.5666	Mae Sot	Mae Sot	Thailand	TH		-7.0	4757	672
KKC	16.45	102.8333	Khon Kaen	Khon Kaen	Thailand	TH		-7.0	6800	629
KDT	16.4666	99.5	Kamphangsaen	Kamphangsaen	Thailand	TH		+0.0		
SGZ	7.3333	100.5333	Songkhla	Songkhla	Thailand	TH		-7.0	4965	12
HHQ	12.6305	99.9544	Hua Hin Airport	Hua Hin	Thailand	TH		-7.0	3937	10
TKH	15.2772	100.2958	Nakhon Sawan	Takhli	Thailand	TH		+7.0	9843	107
CEI	19.8833	99.8166	Chiang Rai	Chiang Rai	Thailand	TH		-7.0	4890	1365
USM	9.55	100.0666	Koh Samui	Koh Samui	Thailand	TH		+7.0	4724	44
NST	8.4333	99.9666	Nakhon Si Thammarat	Nakhon Si Thammarat	Thailand	TH		-7.0	3625	44
SNO	17.15	104.1333	Sakon Nakhon	Sakon Nakhon	Thailand	TH		-7.0	4593	554
LOE	17.45	101.7333	Loei	Loei	Thailand	TH		-7.0	4921	859
BAO	17.3833	102.7833	Udorn	Ban Mak Khaen	Thailand	TH		-7.0		
TKT	16.8833	99.15	Tak	Tak	Thailand	TH		+0.0		
UTR	17.6694	100.2438	Uttaradit	Uttaradit	Thailand	TH		-7.0	4987	265
NAK	14.9666	102.1166	Nakhon Ratchasima	Nakhon Ratchasima	Thailand	TH		-7.0	9845	729
MGS	-21.9166	-157.9166	Mangaia Island	Mangaia Island	Cook Islands	CK		+10.0	3275	45
AIT	-18.85	-159.75	Aitutaki	Aitutaki	Cook Islands	CK		+10.0	5981	14
MUK	-20.1333	-157.35	Mauke Island	Mauke Island	Cook Islands	CK		-10.0	3107	90
AIU	-20.0333	-158.1	Atiu Island	Atiu Island	Cook Islands	CK		+10.0	2648	200
MHX	-10.3666	-161.0	Manihiki Island	Manihiki Island	Cook Islands	CK		+10.0		
MOI	-19.8166	-157.7166	Mitiaro Island	Mitiaro Island	Cook Islands	CK		+10.0	3000	25
RAR	-21.2	-159.8	Rarotonga	Rarotonga	Cook Islands	CK		+10.0	7638	22
BWN	4.9441	114.9283	Bandar Seri Begwan International Airport	Bandar Seri Begawan	Brunei Darussalam	BN		+8.0	12000	73
NAU	-14.1666	-141.5833	Napuka Island	Napuka Island	French Polynesia	PF		+10.0	4101	7
TJN	-15.8166	-1.2	Takume	Takume	French Polynesia	PF		+0.0		
UAP	-9.35	-140.05	Ua Pou	Ua Pou	French Polynesia	PF		+9.5	2723	112
AUQ	-9.8	-139.0333	Atuona	Atuona	French Polynesia	PF		+9.5	3691	1473
RVV	-23.8666	-1.6833	Raivavae	Rairua	French Polynesia	PF		+0.0		
RGI	-14.9666	-147.6666	Rangiroa	Rangiroa	French Polynesia	PF		+10.0	6890	10
FGU	-15.0	-142.0	Fangatau	Fangatau	French Polynesia	PF		+10.0	2953	10
VHZ	-18.5833	-138.8333	Vahitahi	Vahitahi	French Polynesia	PF		+10.0		
HOI	-18.2	-140.8166	Hao Island	Hao Island	French Polynesia	PF		+10.0	11089	10
XMH	-14.4333	-146.0666	Manihi	Manihi	French Polynesia	PF		+10.0	3937	10
FAV	-16.3333	-145.6166	Fakarava	Fakarava	French Polynesia	PF		+10.0	3281	7
AXR	-15.35	-146.6666	Arutua	Arutua	French Polynesia	PF		+10.0	2230	7
TKP	-14.6333	-1.2	Takapoto	Takapoto	French Polynesia	PF		+0.0		
AHE	-14.5	-1.3	Ahe Airport	Ahe	French Polynesia	PF		+0.0		
RUR	-22.4333	-151.3333	Rurutu	Rurutu	French Polynesia	PF		+10.0	4921	17
FAC	-16.75	-1.2333	Faaite	Faaite	French Polynesia	PF		+0.0		
KKR	-15.75	-146.7	Kaukura Atoll	Kaukura Atoll	French Polynesia	PF		+10.0	2300	7
APK	-15.0833	-145.3333	Apataki	Apataki	French Polynesia	PF		+10.0	2756	3
TUB	-23.3833	-1.4666	Tubuai	Tubuai	French Polynesia	PF		+0.0		
TPX	-16.2833	-1.8333	Tupai	Tupai	French Polynesia	PF		+0.0		
BOB	-16.4444	-151.7513	Motu Mute	Bora Bora	French Polynesia	PF		-10.0	4921	10
HIX	-9.75	-139.0	Hiva Oa	Hiva Oa	French Polynesia	PF		+9.5		
TKX	-14.4666	-1.9666	Takaroa	Takaroa	French Polynesia	PF		+0.0		
MVT	-14.8833	-148.6666	Mataiva	Mataiva	French Polynesia	PF		+10.0	3936	3
NHV	-8.7833	-140.1666	Nuku Hiva	Nuku Hiva	French Polynesia	PF		+9.5	5577	226
REA	-19.0	-135.1	Reao	Reao	French Polynesia	PF		+10.0	2953	7
TTI	-17.5166	-1.4333	Tetiaroa Is	Tetiaroa Is	French Polynesia	PF		+0.0		
GMR	-23.0333	-134.9666	Gambier Is	Gambier Is	French Polynesia	PF		+9.0	6560	7
ZTA	41.3	-6.4666	Tureira	Tureira	French Polynesia	PF		+0.0		
UAH	-8.9333	-139.55	Ua Huka	Ua Huka	French Polynesia	PF		+9.5	2477	151
HUH	-16.6833	-151.0333	Huahine	Huahine	French Polynesia	PF		+10.0	4921	7
NUK	-19.0861	-139.0	Nukutavake	Nukutavake	French Polynesia	PF		+10.0	2788	17
